INFO:     Started server process [13304]
INFO:     Waiting for application startup.
INFO:     Application startup complete.
INFO:     Uvicorn running on http://127.0.0.1:8002 (Press CTRL+C to quit)
2026-05-10 13:17:48,875 INFO [httpx] HTTP Request: GET http://127.0.0.1:8011/cache/recommendations:3:last_24h:short:sports:all::1:10:0:150,156 "HTTP/1.1 404 Not Found"
2026-05-10 13:17:49,486 INFO [httpx] HTTP Request: PUT http://127.0.0.1:8011/cache/recommendations:3:last_24h:short:sports:all::1:10:0:150,156 "HTTP/1.1 200 OK"
2026-05-10 13:18:12,055 INFO [httpx] HTTP Request: GET http://127.0.0.1:8012/cache/profile:me "HTTP/1.1 404 Not Found"
2026-05-10 13:18:12,459 INFO [httpx] HTTP Request: PUT http://127.0.0.1:8012/cache/profile:me "HTTP/1.1 200 OK"
2026-05-10 13:18:20,575 INFO [httpx] HTTP Request: GET http://127.0.0.1:8011/cache/recommendations:3:last_24h:medium::all::1:60:0:150,156 "HTTP/1.1 404 Not Found"
2026-05-10 13:18:22,148 INFO [httpx] HTTP Request: PUT http://127.0.0.1:8011/cache/recommendations:3:last_24h:medium::all::1:60:0:150,156 "HTTP/1.1 200 OK"
2026-05-10 13:23:32,469 INFO [httpx] HTTP Request: GET http://127.0.0.1:8012/cache/profile:me "HTTP/1.1 404 Not Found"
2026-05-10 13:23:32,958 INFO [httpx] HTTP Request: PUT http://127.0.0.1:8012/cache/profile:me "HTTP/1.1 200 OK"
2026-05-10 13:24:09,522 INFO [httpx] HTTP Request: PUT http://127.0.0.1:8012/cache/profile:me "HTTP/1.1 200 OK"
2026-05-10 13:24:13,571 INFO [httpx] HTTP Request: PUT http://127.0.0.1:8012/cache/profile:me "HTTP/1.1 200 OK"
